date,index,targetAt,originalRaw,currentCloseRaw,finalRaw,originalEffective,currentCloseEffective,finalEffective,spy_referencePrice,spy_currentClose,spy_priorAtr14Pct,spy_downsideExcursionPct,spy_acuteCloseDownsidePct,spy_acuteCloseDownsideAtrRatio,spy_shockAtrRatio,spy_realizedMovement60AtrRatio,spy_sessionDrawdownPct,spy_sessionDrawdownAtrRatio,spy_openToCurrentPct,rsp_referencePrice,rsp_currentClose,rsp_priorAtr14Pct,rsp_downsideExcursionPct,rsp_acuteCloseDownsidePct,rsp_acuteCloseDownsideAtrRatio,rsp_shockAtrRatio,rsp_realizedMovement60AtrRatio,rsp_sessionDrawdownPct,rsp_sessionDrawdownAtrRatio,rsp_openToCurrentPct
2022-01-24,11,2022-01-24T17:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,425.82,422.52,0.016476177649410284,0.009229251796533763,0.007749753416936761,0.4703611226972987,0.5601573370304184,0.6307540113916751,0.02523877635768006,1.53183443968167,-0.02201236025276021,149.56,148.73,0.015566349008860501,0.006987162342872532,0.005549612195774355,0.3565134118871077,0.44886327159280437,0.5746554209009489,0.018996108436119145,1.2203316542181082,-0.015293961864406791
2022-01-26,24,2022-01-26T20:30:00.000Z,ELEVATED,ELEVATED,HIGH,HIGH,HIGH,HIGH,431.42,432.96,0.019402762038526335,0.0059338927263455615,0,0,0.4945799533248189,0.7733366803229025,0.024952706963336728,1.286038911047322,-0.017607551279724243,151.07,151.2715,0.018371616466338517,0.006122989342688707,0,0,0.4449808876894665,0.7760130905066199,0.02629937569718324,1.4315221388041928,-0.01822754413291805
2022-01-26,25,2022-01-26T20:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,432.96,432.68,0.019402762038526335,0.005450849963044986,0.0006467110125646081,0.033330873783871166,0.3856858252133982,0.6285273183822676,0.025583280785514848,1.3185380893048324,-0.018242875294971928,151.2715,151.48,0.018371616466338517,0.003050806001130424,0,0,0.352631895825042,0.6203051875537596,0.024957308089159757,1.3584709943672026,-0.016874350986500697
2022-01-27,16,2022-01-27T18:30:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,432.16,430.32,0.02056409325656484,0.0048130322102925786,0.004257682339874194,0.20704449677181755,0.3296958562725089,0.33138122864016295,0.025521411263841987,1.2410666954982117,-0.018117099438689332,150.79,150.17,0.019654476282440297,0.004310630678426989,0.004111678493268814,0.20919806939563534,0.313797104093453,0.3300625711391578,0.02796297494983508,1.4227280619437193,-0.019329981061842916
2022-01-27,17,2022-01-27T18:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,430.32,431.09,0.02056409325656484,0.0006042015244469021,0,0,0.2147101152192624,0.30539355088373155,0.023777712357616797,1.1562733187871557,-0.01636015150823711,150.17,150.43,0.019654476282440297,0.0004661383765065804,0,0,0.2134498690411669,0.2898332081400814,0.026280018124150442,1.337100910067471,-0.017632077319924222
2022-01-27,20,2022-01-27T19:30:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,432.93,430.86,0.02056409325656484,0.005566719793038193,0.004781373432194565,0.23251078336109807,0.28867280832754705,0.2883337332140412,0.02429855748545022,1.1816012105320128,-0.01688495413681368,151.08,150.33,0.019654476282440297,0.005229017738946388,0.004964257347100873,0.25257642461509083,0.2862532812304344,0.31004183771130495,0.02692730921095214,1.3700344300198697,-0.01828511722066206
2022-01-27,22,2022-01-27T20:00:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,432.31,431.11,0.02056409325656484,0.004903888413407056,0.0027757858943813205,0.1349821681777865,0.318332946619281,0.3320545461090906,0.023732421476935533,1.154070893418033,-0.016314516497056508,150.94,150.455,0.019654476282440297,0.005233867762024593,0.0032131972969390832,0.16348424912292464,0.3260583797455854,0.38567818721471037,0.026118195352449972,1.3288675300793689,-0.017468817344739707
2022-01-27,23,2022-01-27T20:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,431.11,430.28,0.02056409325656484,0.002435573287560046,0.0019252626939761104,0.09362254245571919,0.30342727615165294,0.3283728429664413,0.025611993025204383,1.2454715462364507,-0.018208369461050533,150.455,150.1,0.019654476282440297,0.00262536971187405,0.0023595094878868642,0.12004947137639568,0.33816752500391417,0.3841314382911337,0.02841607871059625,1.4457815259103974,-0.01978710899235947
2022-02-11,25,2022-02-11T20:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,441.08,440.017,0.019537846528050875,0.00485172757776364,0.002409993651945199,0.12335001446987123,0.27965525387807716,0.12807125827994495,0.025659591900001156,1.3133275391001342,-0.020900736521216823,155.46,155.1,0.018350668416594426,0.00463141644152836,0.0023157082207642715,0.1261920366165075,0.2769214136862115,0.1439252536676148,0.02157456472369427,1.1756827726332022,-0.015113030226060475
2022-02-23,25,2022-02-23T20:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,423.66,422.26,0.02006361984974956,0.003422555823065773,0.003304536656753137,0.1647029141052224,0.19293769938040378,0.21800194955559912,0.025388911969717952,1.2654203059990126,-0.02403735034438137,150.32,149.83,0.018567503403228,0.0033927621075039312,0.003259712613091942,0.17556009239913398,0.19347438754190752,0.21948758138573582,0.0234634686827869,1.2636846307892815,-0.020782955362394495
